Participant ID,Participant Name,Address,Shareholding,Percentage
"C00095","EFG BANK AG","18/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON",1559061,0.01
"B01581","KINGSWAY FINANCIAL SERVICES GROUP LTD","7/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY HONG KONG",1516632,0.01
"B01256","SINOLINK SECURITIES (HONG KONG) CO LTD","UNIT 3501-08 35/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG",1488700,0.01
"B01497","SINOPAC SECURITIES (ASIA) LTD","7/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG",1337766,0.01
"B01347","CGS INTERNATIONAL SECURITIES HK LTD","UNIT 2808B-2811 28/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG",1309038,0.01
"B01118","EAST ASIA SECURITIES CO LTD","C/O BEA SETTLEMENT OPERATIONS DEPT-IOS 35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KOWLOON",1283229,0.01
"B01264","MIB SECURITIES (HONG KONG) LTD","28/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG",1268439,0.01
"B01842","BOCOM INTERNATIONAL SECURITIES LTD","11/F MAN YEE BUILDING 68 DES VOEUX ROAD CENTRAL HONG KONG",1265722,0.01
"B02195","LONG BRIDGE HK LTD","SUITES 1801-1804 & 1815-1816 18TH FLOOR ONE INTERNATIONAL FINANCE CENTRE NO.1 HARBOUR VIEW STREET HONG KONG",1190745,0.01
"B01115","SHENWAN HONGYUAN SECURITIES (H.K.) LTD","LEVEL 19 28 HENNESSY ROAD HONG KONG",1176126,0.01
"B01338","EMPEROR SECURITIES LTD","23/F-24/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WANCHAI HONG KONG",1157591,0.01
"B01584","CHIEF SECURITIES LTD","5/F WORLD-WIDE HOUSE 19 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG",906365,0
"B01890","GUOSEN SECURITIES (HK) BROKERAGE CO LTD","SUITES 3207-3212 32/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG",899916,0
"B01885","HAFOO SECURITIES LTD","UNIT 3203 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG",828517,0
"B01777","DAIWA CAPITAL MARKETS HONG KONG LTD","LEVEL 26 ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG",822250,0
"B01904","VALUABLE CAPITAL LTD","ROOM 3606 36/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG",802259,0
"B01929","CHINA GALAXY INTERNATIONAL SECURITIES","20/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG",800702,0
"B02132","BOOM SECURITIES (H.K.) LTD","ROOM 2801 28/F TOWER 1 THE MILLENNITY 98 HOW MING STREET KWUN TONG KOWLOON",796381,0
"B02176","PING AN SECURITIES (HONG KONG) CO LTD","UNITS 3601, 07 & 11-13 36/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG",770711,0
"B01900","ORIENT SECURITIES (HONG KONG) LTD","28/F 100 QUEEN'S ROAD CENTER 100 QRC CENTRAL HONG KONG",753097,0
"B01459","IFAST SECURITIES (HK) LTD","SUITES 701-702, 706-713 TOWER 5 THE GATEWAY TSIM SHA TSUI KOWLOON",661039,0
"B01773","TOYO SECURITIES ASIA LTD","SUITES 2301-02 & 16 23/FL CITY PLAZA ONE 1111 KING'S ROAD TAIKOO SHING HONG KONG",645100,0
"B01905","SDICS INTERNATIONAL SECURITIES (HONG","39/F ONE EXCHANGE SQUARE CENTRAL HONG KONG",635910,0
"B01183","CHONG HING SECURITIES LTD","2/F CHONG HING BANK CENTRE 24 DES VOEUX ROAD CENTRAL HONG KONG",630492,0
"B02042","MONMONKEY GROUP SECURITIES LTD","UNIT 2418 24/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168 CONNAUGHT ROAD CENTRAL HONG KONG",618805,0
"C00048","CHIYU BANKING CORPORATION LTD","23/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON KOWLOON",614920,0
"B01962","CHINA SECURITIES (INTERNATIONAL)","18/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG",542232,0
"B01866","ICBC INTERNATIONAL SECURITIES LTD","37/F ICBC TOWER 3 GARDEN ROAD HONG KONG",503500,0
"B01858","YUANTA SECURITIES (HONG KONG) CO LTD","23/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG",501266,0
"B01813","CCB INTERNATIONAL SECURITIES LTD","12/F CCB TOWER 3 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG",482925,0
"B01849","CIS SECURITIES ASSET MANAGEMENT LTD","21/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG",454602,0
"B01959","ZHONGTAI INTERNATIONAL SECURITIES LTD","7/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG",364103,0
"B01284","HANG SENG SECURITIES LTD","HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON",326800,0
"B02192","HUAFU INTERNATIONAL SECURITIES LTD","UNITS 2603-04 26/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG",321700,0
"B01623","TAI FUNG KUENTAI SECURITIES CO LTD","RM 3310 33/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG",318900,0
"B01939","SOOCHOW SECURITIES INTERNATIONAL","LEVEL 17 THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG",294730,0
"B01832","MIZUHO SECURITIES ASIA LTD","14/F-15/F K11 ATELIER 18 SALISBURY ROAD TSIM SHA TSUI KOWLOON",263340,0
"B02159","USMART SECURITIES LTD","UNIT 2606-07 26/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL HONG KONG",238050,0
"B02120","LIVERMORE HOLDINGS LTD","UNIT 1214A 12/F TOWER II CHEUNG SHA WAN PLAZA 833 CHEUNG SHA WAN ROAD KOWLOON",235901,0
"B01830","MIRAE ASSET SECURITIES (HK) LTD","SUITE 8501,8507-8508 85/F ICC KOWLOON",221001,0
"C00107","INDUSTRIAL BANK CO., LTD.","12/F ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG",211965,0
"B01947","FUBON SECURITIES (HONG KONG) LTD","UNIT 1002 10/F HONG KONG LI-NING BUILDING 218 ELECTRIC ROAD NORTH POINT HONG KONG",206259,0
"B01564","ABCI SECURITIES CO LTD","13/F FAIRMONT HOUSE 8 COTTON TREE DRIVE CENTRAL HONG KONG",193300,0
"B01129","WOCOM SECURITIES LTD","RM 1002 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG",191074,0
"B01833","CTBC ASIA LTD","RM 2809 28/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG",187600,0
"B01423","PRUDENTIAL BROKERAGE LTD","RM 901-904 WORLD WIDE HOUSE 19 DES VOEUX ROAD CENTRAL HONG KONG",182677,0
"B02102","ZINVEST GLOBAL LTD","RM 3502 LIPPO CENTRE TOWER 2 89 QUEENSWAY HONG KONG",180118,0
"B01181","FOSUN INTERNATIONAL SECURITIES LTD","SUITE 2101-2105 21/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG",162565,0
"B01673","FULBRIGHT SECURITIES LTD","UNIT 2207 WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG",156964,0
"B01894","MFG LIMITED","25/F HENLEY BUILDING 5 QUEEN'S ROAD CENTRAL HONG KONG",153365,0
"B01324","FUNDERSTONE SECURITIES LTD","ROOM 1802 18/F CAPITAL CENTRE NO. 151 GLOUCESTER ROAD WANCHAI HONG KONG",144600,0
"B01973","PC SECURITIES LTD","11/F LEE GARDEN FIVE 18 HYSAN AVENUE CAUSEWAY BAY HONG KONG",134000,0
"B01556","LUK FOOK SECURITIES (HK) LTD","UNITS 2201-2205 22/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG",130195,0
"B01209","MASON SECURITIES LTD","2101 21/F CONVENTION PLAZA OFFICE TOWER 1 HARBOUR ROAD WANCHAI HONG KONG",128432,0
"B01169","PUBLIC FINANCIAL SECURITIES LTD","10/F PUBLIC BANK CENTRE 120 DES VOEUX ROAD CENTRAL HONG KONG",124570,0
"B01940","SOFI SECURITIES (HONG KONG) LTD","21/F H CODE 45 POTTINGER STREET CENTRAL HONG KONG",118102,0
"B02206","ZIRCON SECURITIES (HK) LTD","16/F RYKADAN CAPITAL TOWER 135 HOI BUN ROAD KWUN TONG KOWLOON",115383,0
"B01289","SOUTH CHINA SECURITIES LTD","28/F BANK OF CHINA TOWER 1 GARDEN RD CENTRAL HONG KONG",114911,0
"B02163","GOLDEN EAGLE BROKERAGE LTD","UNIT 2115 21/F NORTH TOWER CONCORDIA PLAZA NO.1 SCIENCE MUSEUM ROAD KOWLOON",112799,0
"B01275","SANFULL SECURITIES LTD","RM 2001-2006 COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG",109140,0
"B02032","FORTHRIGHT SECURITIES CO LTD","20/F GOLDEN CENTRE 188 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG",107957,0
"B01123","HING WONG SECURITIES LTD","19/F UNIT A UNITED CENTRE 95 QUEENSWAY HONG KONG",104000,0
"B01649","CINDA INTERNATIONAL SECURITIES LTD","45TH FLOOR COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG",102080,0
"B01445","VICTORY SECURITIES CO LTD","RM 1101-3 11/F YARDLEY COMMERCIAL BLDG 3 CONNAUGHT ROAD WEST SHEUNG WAN HONG KONG",101400,0
"B01875","GUODU SECURITIES (HONG KONG) LTD","RM 1307 13/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG",100200,0
"B01119","CELESTIAL SECURITIES LTD","22/F MANHATTAN PLACE 23 WANG TAI ROAD KOWLOON BAY KOWLOON",99801,0
"B01230","GAOYU SECURITIES LIMITED","SUITE 4409 44/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG",98300,0
"B01184","QUAM SECURITIES LTD","5/F,RM 2401&2412 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG",95958,0
"B02210","ARK GROUP HOLDINGS (HONG KONG) LTD","34/F TOWER TWO TIMES SQUARE 1 MATHESON STREET CAUSEWAY BAY HONG KONG",85300,0
"B01848","CATHAY SECURITIES (HONG KONG) LTD","RM 1001 10/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG",84940,0
"B01252","CORPORATE BROKERS LTD","UNIT 408-409 4/F FORTRESS TOWER 250 KING'S ROAD FORTRESS HILL HONG KONG",83600,0
"B01937","CHANGJIANG SECURITIES BROKERAGE (HK) LTD","UNIT 3605-3611 36/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",82800,0
"B02108","WK SECURITIES LTD","UNIT 1501 15/F TAI TUNG BUILDING NO.8 FLEMING ROAD WAN CHAI HONG KONG",81700,0
"B01893","WINCO SECURITIES CO LTD","RM 1404 14/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG",78000,0
"B01455","NATIONAL RESOURCES SECURITIES LTD","RM 102 1/F ON HONG COMMERCIAL BUILDING 145 HENNESSY ROAD WANCHAI HONG KONG",77800,0
"B02171","DL SECURITIES (HK) LTD","21/F DL TOWER 92 WELLINGTON STREET CENTRAL HONG KONG",77000,0
"B01555","ABN AMRO CLEARING HONG KONG LTD","SUITE 2407-2409 LEVEL 24 THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG",76260,0
"B01438","KINGSTON SECURITIES LTD","72/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG",73400,0
